PROSPECTID,Total_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_closed_L6M,pct_active_tl,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,time_since_recent_payment,num_times_delinquent,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,num_times_60p_dpd,num_std,num_std_6mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_lss,recent_level_of_deliq,CC_enq,CC_enq_L6m,PL_enq,time_since_recent_enq,enq_L3m,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,CC_Flag,PL_Flag,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,HL_Flag,GL_Flag,AGE,MARITALSTATUS_Married,MARITALSTATUS_Single,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,GENDER_F,GENDER_M,last_prod_enq2_AL,last_prod_enq2_CC,last_prod_enq2_ConsumerLoan,last_prod_enq2_HL,last_prod_enq2_PL,last_prod_enq2_others,first_prod_enq2_AL,first_prod_enq2_CC,first_prod_enq2_ConsumerLoan,first_prod_enq2_HL,first_prod_enq2_PL,first_prod_enq2_others
1,5,0,0,0.0,0.2,0.0,0.0,0,0,0,0,4,1,4,0,72,549,11,0,0,0,0,21,5,0,0,0,0,0,0,29,0,0,6,566,0,51000,114,0.2,0.0,0,1,0.0,0.0,1,0,48,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2,1,0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,7,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,19000,50,1.0,0.0,0,0,0.0,0.0,0,0,23,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,8,1,0,0.0,1.0,0.25,0.0,1,1,0,0,0,2,6,0,47,302,9,1,9,8,0,10,5,0,0,0,0,0,0,25,0,0,0,587,0,18,191,1.0,0.5,0,0,0.0,0.0,1,0,40,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
5,3,0,0,0.0,0.333,0.0,0.0,0,1,0,0,0,3,0,2,131,583,0,0,0,0,0,53,4,0,0,0,0,0,0,0,0,0,0,3951,0,15000,75,0.333,0.0,0,0,0.0,0.0,0,0,48,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
6,6,0,0,0.0,0.167,0.0,0.167,0,4,0,0,0,6,0,0,150,245,14,0,0,0,11,5,0,3,0,1,0,0,0,26,2,0,7,7,4,0,154,0.167,0.0,0,0,0.429,0.0,1,0,35,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
8,6,0,0,0.0,0.333,0.167,0.333,0,1,0,0,0,6,0,5,36,74,3,0,0,0,2,27,0,0,0,0,0,0,0,133,0,0,0,2,1,27000,126,0.333,0.0,0,0,0.0,0.0,0,0,30,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
9,1,0,0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,16,424,3,2,3,1,1,0,0,0,0,0,0,0,0,38,0,0,0,108,0,18000,122,1.0,0.0,0,0,0.0,0.0,0,0,39,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
11,7,1,0,0.0,0.714,0.429,0.143,0,2,1,0,2,2,5,0,64,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,87,1,20000,95,0.714,0.333,1,1,0.0,0.333,0,0,27,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
13,2,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,2,0,1,49,1037,1,0,0,0,0,33,4,0,0,0,0,0,0,31,0,0,0,3,1,55000,126,0.0,0.0,0,0,0.0,0.0,0,0,30,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
14,2,1,0,0.0,0.5,0.5,0.5,0,0,0,0,0,0,2,0,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,25000,125,0.5,1.0,0,0,0.0,0.0,0,0,39,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
